"nm_municipio";"nm_uf";"oper";"ano";"trabalhadores_resgatados"
"Redenção";"Pará";1;2003;49
"Redenção";"Pará";1;2003;140
"Bannach";"Pará";2;2003;16
"Bannach";"Pará";2;2003;17
"Rio Maria";"Pará";2;2003;1
"Goianésia do Pará";"Pará";3;2003;15
"Redenção";"Pará";3;2003;74
"Bom Jardim";"Maranhão";4;2003;13
"João Lisboa";"Maranhão";4;2003;65
"Sorriso";"Mato Grosso";5;2003;8
"Sorriso";"Mato Grosso";5;2003;49
"Sorriso";"Mato Grosso";5;2003;0
"Curionópolis";"Pará";6;2003;12
"Marabá";"Pará";6;2003;16
"Marabá";"Pará";6;2003;0
"Nova Ipixuna";"Pará";6;2003;0
"Cumaru do Norte";"Pará";7;2003;99
"Cumaru do Norte";"Pará";7;2003;261
"Água Azul do Norte";"Pará";8;2003;1
"Goianésia do Pará";"Pará";8;2003;36
"Rio Maria";"Pará";8;2003;8
"Paragominas";"Pará";9;2003;21
"Ulianópolis";"Pará";9;2003;42
"Açailândia";"Maranhão";9;2003;0
"Bom Jesus das Selvas";"Maranhão";9;2003;0
"Itapeva";"São Paulo";10;2003;0
"Campo Verde";"Mato Grosso";11;2003;0
"Jaciara";"Mato Grosso";11;2003;0
"Poxoréo";"Mato Grosso";11;2003;0
"Piçarra";"Pará";12;2003;0
"Sapucaia";"Pará";12;2003;107
"Belém";"Pará";13;2003;0
"Santarém";"Pará";13;2003;0
"Uruará";"Pará";13;2003;0
"Barreiras";"Bahia";14;2003;46
"Novo Mundo";"Mato Grosso";15;2003;136
"Água Azul do Norte";"Pará";16;2003;13
"São Félix do Xingu";"Pará";16;2003;41
"Goianésia do Pará";"Pará";17;2003;26
"Novo Repartimento";"Pará";17;2003;5
"Novo Repartimento";"Pará";17;2003;6
"Marabá";"Pará";18;2003;28
"Marabá";"Pará";18;2003;32
"Marabá";"Pará";18;2003;0
"Ananás";"Tocantins";19;2003;11
"Araguanã";"Tocantins";19;2003;54
"Canaã dos Carajás";"Pará";20;2003;0
"Curionópolis";"Pará";20;2003;0
"Pau D'Arco";"Pará";20;2003;0
"Redenção";"Pará";20;2003;0
"Porto Velho";"Rondônia";21;2003;0
"Ananás";"Tocantins";22;2003;29
"Araguaína";"Tocantins";22;2003;2
